Features,FwdStepVals,LasBVals,LasSVals,RidgeVals,rFVals,gBVals
3SsnPorch,,0.0,0.005886734821437,0.005715418059039709,0.00014628507385534302,0.0005792702207771817
EnclosedPorch,,0.0,0.010135255943278,0.009082049549881831,0.0010251435572903535,0.0010273510181726482
OpenPorchSF,,0.0,0.005970868504609,0.006837435592158653,0.005405281221997328,0.00522000264917927
PavedDrive,,0.0,0.000506491961237,0.001891091703455656,0.0008121442223512263,0.00027214393138872117
GarageCond,,0.0,0.001415366097142,0.004740040815873768,0.0027734716772780054,0.00011217045848127683
GarageYrBlt,,0.0,0.001581861942654,0.0022105275977972816,0.009566679651554805,0.0035327317049183887
TotRmsAbvGrd,,0.0,0.013618693491179,0.019777691120441643,0.007212053179087975,0.0010495178593355682
BsmtFinSF2,,0.0,0.019718101647958,0.00813532687922325,0.0005378621199225059,0.000607499254983542
KitchenAbvGr,,0.0,0.005664070381532,0.006471519699186177,0.0009509402291407574,0.0006199813385985599
BedroomAbvGr,,0.0,0.001195892350526,0.0018785397806969537,0.0029129947952969215,0.0009778811410577823
HalfBath,,0.0,0.005524804670292,0.00960778079960752,0.0013783025539542712,0.0004369169539675745
FullBath,,0.0,0.002494039231732,0.010182759569833402,0.005410466559139141,0.0005495865144010046
BsmtHalfBath,,0.0,0.000239669948617,0.0008290303381033471,0.00022709511921124032,0.0
LowQualFinSF,,0.0,0.008011977504098,0.004504592287976111,0.00011364947185254759,2.324548054747285e-05
2ndFlrSF,,0.0,0.070206333886707,0.032013610877054184,0.010859306826463895,0.004581732680048551
1stFlrSF,,0.0,0.071650008077625,0.04044101305444152,0.029428557238901327,0.020349317891846266
Electrical,,0.0,0.004964449084926,0.0037985230750234088,0.0006427186738657182,0.0004399156574454268
SaleType,,0.0,0.005225874034821,0.001796193825347627,0.0009470673941513745,0.004060993703925879
BsmtUnfSF,,0.0,0.022135122904322,0.0027780020901090633,0.005861614449546088,0.004201863413604671
MSSubClass,,0.0,0.008945824678597,0.006426852704288616,0.0025764359783423236,0.0002564149560557866
